,Depth_ft,Caliper_in,source_file,Diameter_auger_in,calibrated_in,calibrated_cm,Well_Diameter_Deviation_Percentage,Depth [m]
0,84.8563,2.99235,AW1D_caliper_20210910.LAS,6,4.262104967113412,10.825746616468068,-28.96491721477646,-25.864200240000002
1,84.7566,3.9187,AW1D_caliper_20210910.LAS,6,5.230343978954343,13.285073706544031,-12.827600350760951,-25.833811680000004
2,84.6569,4.99492,AW1D_caliper_20210910.LAS,6,6.355230025614294,16.142284265060308,5.920500426904907,-25.803423119999998
3,84.5572,5.135,AW1D_caliper_20210910.LAS,6,6.501644362289069,16.514176680214234,8.360739371484478,-25.77303456
4,84.4575,5.14982,AW1D_caliper_20210910.LAS,6,6.517134514127449,16.55352166588372,8.618908568790811,-25.742646
5,84.3578,5.46131,AW1D_caliper_20210910.LAS,6,6.8427099119774315,17.380483176422675,14.045165199623858,-25.712257440000002
6,84.2581,5.2846,AW1D_caliper_20210910.LAS,6,6.658009187864072,16.911343337174742,10.966819797734528,-25.68186888
7,84.1584,5.23315,AW1D_caliper_20210910.LAS,6,6.604232648587107,16.77475092741125,10.070544143118454,-25.65148032
8,84.0587,5.19037,AW1D_caliper_20210910.LAS,6,6.559518161701421,16.66117613072161,9.32530269502368,-25.621091760000002
9,83.959,5.1406,AW1D_caliper_20210910.LAS,6,6.507497591053909,16.52904388127693,8.458293184231813,-25.590703200000004
10,83.8593,5.06091,AW1D_caliper_20210910.LAS,6,6.424204055291396,16.317478300440147,7.070067588189932,-25.56031464
11,83.7595,5.32598,AW1D_caliper_20210910.LAS,6,6.701260367558548,17.02120133359871,11.687672792642461,-25.529895600000003
12,83.6598,5.13696,AW1D_caliper_20210910.LAS,6,6.503692992356763,16.519380200586177,8.394883205946051,-25.49950704
13,83.5601,5.34583,AW1D_caliper_20210910.LAS,6,6.72200797309106,17.073900251651292,12.03346621818433,-25.469118480000002
14,83.4604,5.18254,AW1D_caliper_20210910.LAS,6,6.551334093624869,16.640388597807167,9.188901560414491,-25.438729920000004
15,83.3607,5.00387,AW1D_caliper_20210910.LAS,6,6.364584739443815,16.16604523818729,6.076412324063588,-25.408341359999998
16,83.261,5.08551,AW1D_caliper_20210910.LAS,6,6.4499164530797986,16.38278779082269,7.498607551329976,-25.3779528
17,83.1613,5.02708,AW1D_caliper_20210910.LAS,6,6.3888442822352305,16.227664476877486,6.4807380372538415,-25.34756424
18,83.0616,5.3106,AW1D_caliper_20210910.LAS,6,6.685184892843684,16.980369627822956,11.419748214061398,-25.317175680000002
