well_id,campaign,date,method,trial,n_breakpoints,bp_idx,depth_wt_m,vadose_m,depth_bgl_m,is_top_mz,is_bot_mz
LRS69D,2022_02,2022-02-12,lowess,trial_3,15,12,18.2225,1.97,20.1925,False,False
LRS69D,2022_02,2022-02-12,lowess,trial_3,15,13,19.5995,1.97,21.5695,False,False
LRS69D,2022_02,2022-02-12,lowess,trial_3,15,14,22.0863,1.97,24.0563,False,True
LRS69D,2022_02,2022-02-12,lowess,trial_3,15,15,25.0145,1.97,26.9845,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,1,1.088,0.83,1.918,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,2,2.3281,0.83,3.1581,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,3,3.2359,0.83,4.0659,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,4,3.984,0.83,4.814,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,5,8.2796,0.83,9.1096,True,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,6,9.0532,0.83,9.8832,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,7,10.8633,0.83,11.6933,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,8,11.5878,0.83,12.4178,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,9,11.9527,0.83,12.7827,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,10,12.4737,0.83,13.3037,False,True
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,11,13.2679,0.83,14.0979,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,12,15.9264,0.83,16.7564,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,13,21.2643,0.83,22.0943,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,14,23.7846,0.83,24.6146,False,False
LRS70D,2022_02,2022-01-31,lowess,trial_3,15,15,25.5746,0.83,26.4046,False,False
