run_id,timestamp,stage,well_id,date,method_signature,input_file,output_file,params_json,notes
f6d36361,2026-05-03T22:53:51,breakpoints,AW5D,20220213,bp-lowess-max10-t3,data\raw\sec\2022_02\D\AW5_D_YSI_20220213.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\AW5D_20220213__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T22:56:27
fd37593f,2026-05-03T22:56:28,breakpoints,AW6D,20220219,bp-savgol-max10-t3,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\AW6D_20220219__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:00:56
f6d36361,2026-05-03T23:00:56,breakpoints,AW6D,20220219,bp-lowess-max10-t3,data\raw\sec\2022_02\D\AW6_D_YSI_20220219.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\AW6D_20220219__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:04:48
fd37593f,2026-05-03T23:04:48,breakpoints,BW3D,20220202,bp-savgol-max10-t3,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\BW3D_20220202__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:08:34
f6d36361,2026-05-03T23:08:34,breakpoints,BW3D,20220202,bp-lowess-max10-t3,data\raw\sec\2022_02\D\BW3_D_YSI_20220202.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\BW3D_20220202__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:13:32
fd37593f,2026-05-03T23:13:33,breakpoints,LRS69D,20220212,bp-savgol-max10-t3,data\raw\sec\2022_02\D\LRS69_D_YSI_20220212.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\LRS69D_20220212__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:21:59
f6d36361,2026-05-03T23:21:59,breakpoints,LRS69D,20220212,bp-lowess-max10-t3,data\raw\sec\2022_02\D\LRS69_D_YSI_20220212.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\LRS69D_20220212__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:29:01
fd37593f,2026-05-03T23:29:02,breakpoints,LRS70D,20220131,bp-savgol-max10-t3,data\raw\sec\2022_02\D\LRS70_D_YSI_20220131.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\LRS70D_20220131__bp-savgol-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:32:53
f6d36361,2026-05-03T23:32:53,breakpoints,LRS70D,20220131,bp-lowess-max10-t3,data\raw\sec\2022_02\D\LRS70_D_YSI_20220131.csv,results\savgol_window_sensitivity\2022_02\breakpoints\window11\LRS70D_20220131__bp-lowess-max10-t3.json,"{""max_breakpoints"":10,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-03T23:36:37
ba9a66a5,2026-05-04T01:56:42,convergence_sec_caliper,ALL,2022_02,convergence_sec_caliper_v1-hybrid-tol0.5-amin3,results\sec_robustness\2022_02\robustness_clusters.csv + data\processed\caliper\priority_wells_cumulative_min_v2_zones.csv,results\convergence\sec_caliper\2022_02,"{""best_match_priority"":""overlap_then_distance"",""caliper_severity_filter"":null,""matching_rule"":""hybrid"",""method"":""convergence_sec_caliper"",""run_tag"":""convergence_sec_caliper_v1"",""sec_agreement_min"":3,""severity_weights"":{""mild"":1,""moderate"":2,""severe"":3},""tolerance_m"":0.5,""unmatched_zones_min_severity"":""moderate""}","SEC↔caliper convergence (Idea 3). agreement_min=3, matching_rule=hybrid, tol=0.5m. Outputs in folder: cluster_matches.csv, well_summary.csv, unmatched_caliper_zones.csv."
