depth_m,sec_uS_cm,log10_sec_uS_cm,depth_bgl_m
0.001,450.4624211218133,2.6536585667242782,3.2809999999999997
0.01700000000000179,451.0403872680333,2.6542154314175095,3.2970000000000015
0.03300000000000358,451.70077109897346,2.6548508319467015,3.3130000000000033
0.04900000000000537,452.40288583517,2.6555253665856298,3.329000000000005
0.06500000000000716,453.1060446971592,2.6561998559578446,3.345000000000007
0.08100000000000895,453.7695609054782,2.6568353598297425,3.3610000000000086
0.09700000000001074,454.2876190371541,2.657330900897578,3.3770000000000104
0.11300000000001253,454.71377282505955,2.6577381087495033,3.3930000000000122
0.12900000000001433,455.0364515046642,2.6580461879829214,3.409000000000014
0.14500000000001612,455.1699935064014,2.658173624028207,3.425000000000016
0.1610000000000179,455.1607175478754,2.6581647734038056,3.4410000000000176
0.1770000000000197,455.09125332611177,2.6580984886184376,3.4570000000000194
0.1930000000000215,454.9966778494535,2.658008225674876,3.473000000000021
0.20900000000002328,454.894673197526,2.657910851284856,3.489000000000023
0.22500000000002507,454.7603532829897,2.6577825951956386,3.5050000000000248
0.24100000000002686,454.6054180097562,2.6576346073628154,3.5210000000000266
0.25700000000002865,454.47827152481796,2.6575131245603014,3.5370000000000283
0.27300000000003044,454.3690777976593,2.6574087676879907,3.55300000000003
0.28900000000003223,454.3378982007176,2.657378964622178,3.569000000000032
0.305000000000034,454.41265255857,2.6574504152642926,3.5850000000000337
0.3210000000000358,454.6389310452685,2.6576666219173553,3.6010000000000355
0.3370000000000376,454.9967992298958,2.6580083415325335,3.6170000000000373
0.3530000000000394,455.45939601068864,2.6584496658874732,3.633000000000039
0.3690000000000412,455.98053721190547,2.658946305905966,3.649000000000041
0.385000000000043,456.5609676991449,2.6594987800463192,3.6650000000000427
0.40100000000004477,457.1219150339067,2.6600320424447674,3.6810000000000445
0.41700000000004656,457.6254000382297,2.6605101215330067,3.6970000000000462
0.43300000000004835,458.0499839654433,2.6609128722744377,3.713000000000048
0.44900000000005014,458.32649473086076,2.661174963469583,3.72900000000005
0.4650000000000519,458.50418122958274,2.661343300478571,3.7450000000000516
0.4810000000000537,458.59940329735434,2.66143348531578,3.7610000000000534
0.4970000000000555,458.6139860139872,2.6614472949558032,3.777000000000055
0.5130000000000573,458.60507352729667,2.661438855000812,3.793000000000057
0.5290000000000591,458.59217847744037,2.6614266433440834,3.809000000000059
0.5450000000000609,458.62996004685726,2.6614624216499823,3.8250000000000606
0.5610000000000627,458.67213105775477,2.6615023531785806,3.8410000000000624
0.5770000000000645,458.75705695078034,2.661582757960332,3.857000000000064
0.5930000000000663,458.87518061637684,2.661694568453324,3.873000000000066
0.609000000000068,458.9449169729592,2.6617605642078073,3.8890000000000677
0.6250000000000698,459.0497755776368,2.6618597794079806,3.9050000000000695
0.6410000000000716,459.14643894789265,2.661951220361004,3.9210000000000713
0.6570000000000734,459.2216591692812,2.6620223633530493,3.937000000000073
0.6730000000000752,459.2083308137841,2.662009758295922,3.953000000000075
0.689000000000077,459.2271859312025,2.6620275900833525,3.9690000000000767
0.7050000000000788,459.5025359409649,2.6622879125493952,3.9850000000000785
0.7210000000000806,460.0328391514845,2.6627888346233806,4.00100000000008
0.7370000000000824,460.7376226253709,2.663453677048562,4.017000000000082
0.7530000000000842,461.4621671759463,2.6641361013310942,4.033000000000084
0.769000000000086,462.17976165864184,2.6648109242836986,4.049000000000086
0.7850000000000877,462.9319787802582,2.665517182355727,4.065000000000087
0.8010000000000895,463.6667365819546,2.666205940758699,4.081000000000089
0.8170000000000913,464.28245830445564,2.6667822752976744,4.097000000000091
0.8330000000000931,464.72518967461673,2.667196213344365,4.113000000000093
0.8490000000000949,465.20007825422783,2.6676397791118203,4.129000000000095
0.8650000000000967,465.7843095460488,2.668184854760402,4.145000000000096
0.8810000000000985,466.3506887152622,2.668712622473414,4.161000000000098
0.8970000000001003,466.7872004808335,2.669118938982681,4.1770000000001
0.9130000000001021,467.0316293514807,2.669346293815916,4.193000000000102
0.9290000000001039,467.1588255396564,2.6694645579293974,4.2090000000001035
0.9450000000001056,467.2724420412392,2.6695701687359823,4.225000000000105
0.9610000000001074,467.38612737053234,2.669675817821209,4.241000000000107
0.9770000000001092,467.4858024121354,2.669768425844483,4.257000000000109
0.993000000000111,467.57409252461844,2.6698504396469778,4.273000000000111
1.0090000000001127,467.6944477116869,2.669962214162322,4.2890000000001125
1.0250000000001145,467.8464782496201,2.670103364639985,4.305000000000114
1.0410000000001163,467.99583668391097,2.6702419895842815,4.321000000000116
1.057000000000118,468.1569031978164,2.6703914316484205,4.337000000000118
1.0730000000001199,468.33793506871774,2.6705593367779477,4.35300000000012
1.0890000000001216,468.52497140555465,2.670732742832391,4.3690000000001215
1.1050000000001234,468.75300658615754,2.6709440663135675,4.385000000000123
1.1210000000001252,469.0400332411248,2.6712099119554304,4.401000000000125
1.137000000000127,469.34231969992345,2.671489715481445,4.417000000000127
1.1530000000001288,469.60836897354784,2.6717358279470633,4.433000000000129
1.1690000000001306,469.85497662493805,2.671963831189884,4.44900000000013
1.1850000000001324,470.1156850240991,2.6722047413090277,4.465000000000132
1.2010000000001342,470.365237059656,2.6724352171687475,4.481000000000134
1.217000000000136,470.6276734546592,2.6726774606115664,4.497000000000136
1.2330000000001378,470.88949254608855,2.672918999680001,4.513000000000138
1.2490000000001396,471.16040760864087,2.673168788825895,4.529000000000139
1.2650000000001413,471.45454056533663,2.6734398227712663,4.545000000000141
1.2810000000001431,471.7866702818368,2.6737456662977253,4.561000000000143
1.297000000000145,472.13160555304165,2.674063074055158,4.577000000000145
1.3130000000001467,472.46710735516996,2.6743715787894304,4.5930000000001465
1.3290000000001485,472.77525891107734,2.6746547411398236,4.609000000000148
1.3450000000001503,473.1103417641249,2.674962441436863,4.62500000000015
1.361000000000152,473.46875808010293,2.675291327286377,4.641000000000152
1.3770000000001539,473.83441997416867,2.67562660527214,4.657000000000154
1.3930000000001557,474.1890091411642,2.6759514835842584,4.6730000000001555
1.4090000000001575,474.5445560993346,2.67627699560339,4.689000000000157
1.4250000000001593,474.8391224625743,2.6765464937064296,4.705000000000159
1.441000000000161,475.1128635240531,2.676796788958221,4.721000000000161
1.4570000000001628,475.3681565794899,2.6770300863425254,4.737000000000163
1.4730000000001646,475.64670982780467,2.6772844969650973,4.753000000000164
1.4890000000001664,475.9331812347416,2.6775459841112275,4.769000000000166
1.5050000000001682,476.24947015906866,2.6778345055191175,4.785000000000168
1.52100000000017,476.5430399027804,2.6781021308886204,4.80100000000017
1.5370000000001718,476.7947504024487,2.678331465096694,4.817000000000172
1.5530000000001736,477.05262131751823,2.678566286560813,4.833000000000173
1.5690000000001754,477.30512449394087,2.678796097109789,4.849000000000175
1.5850000000001772,477.51295380463966,2.678985157468597,4.865000000000177
1.601000000000179,477.7216493808295,2.6791749230785875,4.881000000000179
1.6170000000001807,477.9441319013903,2.6793771337983547,4.8970000000001805
1.6330000000001825,478.21445009460035,2.679622694953183,4.913000000000182
1.6490000000001843,478.47514475300045,2.679859382495343,4.929000000000184
1.665000000000186,478.70775996809255,2.680070467557167,4.945000000000186
1.681000000000188,478.83749425073336,2.680188149480107,4.961000000000188
1.6970000000001897,478.8784652173477,2.6802253076052356,4.9770000000001895
1.7130000000001915,478.86459715219434,2.680212730486365,4.993000000000191
1.7290000000001933,478.7932576616241,2.6801480260681894,5.009000000000193
1.745000000000195,478.6675990676003,2.6800340311535815,5.025000000000195
1.7610000000001969,478.54273566433665,2.6799207279737702,5.041000000000197
1.7770000000001986,478.4531272727286,2.679839397569683,5.0570000000001984
1.7930000000002004,478.4085277389288,2.6797989124455537,5.0730000000002
1.8090000000002022,478.4229659673678,2.679812019127308,5.089000000000202
1.825000000000204,478.5183459207484,2.679898592853533,5.105000000000204
1.8410000000002058,478.62846713287,2.6799985253494127,5.121000000000206
1.8570000000002076,478.78000950819006,2.6801360090244195,5.137000000000207
1.8730000000002094,478.9273125562496,2.680269604957061,5.153000000000209
1.8890000000002112,479.0760839874547,2.680404490934271,5.169000000000211
1.905000000000213,479.208274264005,2.6805243082046597,5.185000000000213
1.9210000000002148,479.3284005101232,2.6806331619761785,5.201000000000215
1.9370000000002165,479.4599613590527,2.6807523460492346,5.217000000000216
1.9530000000002183,479.6144160895833,2.6808922285011705,5.233000000000218
1.9690000000002201,479.7760248896962,2.6810385418430216,5.24900000000022
1.985000000000222,479.928194752397,2.6811762645515067,5.265000000000222
2.0010000000002237,480.06921751917787,2.681303859499354,5.2810000000002235
2.0170000000002255,480.20515379609935,2.6814268168063804,5.297000000000225
2.0330000000002273,480.2985873185854,2.681511309269307,5.313000000000227
2.049000000000229,480.35305666236735,2.681560558621267,5.329000000000229
2.065000000000231,480.37387784245846,2.6815793829579166,5.345000000000231
2.0810000000002327,480.38975377991875,2.68159373577438,5.3610000000002325
2.0970000000002345,480.41347905282436,2.681615183985116,5.377000000000234
2.1130000000002362,480.45128205128333,2.681649356606078,5.393000000000236
2.129000000000238,480.4941724941733,2.6816881248474966,5.409000000000238
2.14500000000024,480.5421328671342,2.681731471649752,5.42500000000024
2.1610000000002416,480.6229215229233,2.681804479022069,5.441000000000241
