pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,4.580165396533219,5.607509041356509,2.993540809514396,3.009699460795658,985.2372186140329,1022.58510100488,0.015728574720527466,36.35383601099821,1,False,False
2,5.607509041356509,6.479463271164177,3.009699460795658,3.057542700801347,1022.58510100488,1141.6755511851657,0.05486898092832463,136.57878602934701,1,False,False
3,6.479463271164177,7.454660558821284,3.057542700801347,3.2532545207885493,1141.6755511851657,1791.6555564962905,0.20068946300845067,666.5112931893912,1,False,False
4,7.454660558821284,8.239544476957754,3.2532545207885493,3.367085493940616,1791.6555564962905,2328.549604009022,0.14502905528034338,684.042614591296,1,False,False
5,8.239544476957754,8.997787898109774,3.367085493940616,3.7894755297991845,2328.549604009022,6158.508281954993,0.5570638980511295,5051.093845465892,1,False,False
6,8.997787898109774,11.126177496810994,3.7894755297991845,4.101476314563854,6158.508281954993,12632.1220919953,0.14659007211605324,3041.5548985912237,1,False,False
7,11.126177496810994,11.704253942036434,4.101476314563854,4.12496476893686,12632.1220919953,13334.13257930954,0.04063209038701826,1214.3904030555489,1,True,False
8,11.704253942036434,12.831489190120966,4.12496476893686,4.267661366565603,13334.13257930954,18520.869282535466,0.1265899002636955,4601.290380193091,1,False,False
9,12.831489190120966,14.984967253081784,4.267661366565603,4.396015632128958,18520.869282535466,24889.469045893497,0.05960323802271791,2957.3553001983396,1,False,False
10,14.984967253081784,16.79014604179883,4.396015632128958,4.4461203800576845,24889.469045893497,27933.180007010942,0.027756113822019812,1686.099449063786,1,False,False
11,16.79014604179883,18.22254219590933,4.4461203800576845,4.574563578590301,27933.180007010942,37545.99159462358,0.08967016433549317,6711.000696299744,1,False,False
12,18.22254219590933,19.599465960397133,4.574563578590301,4.605233019280709,37545.99159462358,40293.31688081154,0.022273884351045364,1995.2631779944097,1,False,False
13,19.599465960397133,22.08625034513679,4.605233019280709,4.6755067880478265,40293.31688081154,47370.37121331407,0.02825889095908682,2845.8656793614364,1,False,False
14,22.08625034513679,25.014467374066832,4.6755067880478265,4.707177331377497,47370.37121331407,50953.88838021615,0.010815640718148035,1223.7881043303269,1,False,True
