pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,1.0879511437843479,2.328113208320525,3.3430420436273023,3.4676372090795367,2203.1397365495973,2935.1966905549007,0.1004668414033719,590.2913618625273,1,False,False
2,2.328113208320525,3.2358515959908476,3.4676372090795367,3.640425780567037,2935.1966905549007,4369.44000463066,0.19035062726713112,1580.0183550204285,1,False,False
3,3.2358515959908476,3.9839916204415813,3.640425780567037,3.73463089904844,4369.44000463066,5427.888265928134,0.1259190999045481,1414.7729391627743,1,False,False
4,3.9839916204415813,8.27961993595333,3.73463089904844,3.790318246919492,5427.888265928134,6170.470024813717,0.012963725858208491,172.86918335184617,1,False,False
5,8.27961993595333,9.053217347995728,3.790318246919492,4.050528972421301,6170.470024813717,11233.859098948637,0.33636452430058955,6545.250792355815,1,True,False
6,9.053217347995728,10.863302409692116,4.050528972421301,4.273401003408152,11233.859098948637,18767.26573400857,0.12312793232931184,4161.90752273251,1,False,False
7,10.863302409692116,11.587763138038097,4.273401003408152,4.526941568775793,18767.26573400857,33646.62971901566,0.3499714414423817,20538.537705112343,1,False,False
8,11.587763138038097,11.952719116717033,4.526941568775793,4.60890024458508,33646.62971901566,40634.99817511925,0.22457140202487208,19148.524382036514,1,False,False
9,11.952719116717033,12.473681255402907,4.60890024458508,4.661815152143521,40634.99817511925,45900.26069304018,0.10157150324190167,10106.804558201753,1,False,False
10,12.473681255402907,13.267852951154467,4.661815152143521,4.68335204412981,45900.26069304018,48233.862846839016,0.02711868491599689,2938.4101275360154,1,False,True
11,13.267852951154467,15.926367203571425,4.68335204412981,4.687545898540561,48233.862846839016,48701.8993192214,0.0015775181219879239,176.0518951353638,1,False,False
12,15.926367203571425,21.26431787798693,4.687545898540561,4.699660603394678,48701.8993192214,50079.5714038731,0.002269542300602721,258.09007401563485,1,False,False
13,21.26431787798693,23.78463566146172,4.699660603394678,4.702607265834782,50079.5714038731,50420.51367021927,0.0011691630553198025,135.27749102976426,1,False,False
14,23.78463566146172,25.574588955387632,4.702607265834782,4.70298288145241,50420.51367021927,50464.140576536236,0.00020984660264746958,24.37320932619445,1,False,False
