pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,2.3340931362158868,4.614307312376882,2.9911843533537725,2.994474176805121,979.9058566717281,987.3569256563574,0.0014427694932093345,3.2677057543664656,1,False,False
2,4.614307312376882,5.507446457867417,2.994474176805121,3.005246438903245,987.3569256563574,1012.1536344190231,0.012061124128880807,27.763544894280436,1,False,False
3,5.507446457867417,6.469083445836136,3.005246438903245,3.052608133246311,1012.1536344190231,1128.776952201314,0.049251115478730664,121.27582366464105,1,False,False
4,6.469083445836136,8.655368552189266,3.052608133246311,3.4637173235870704,1128.776952201314,2908.823188038595,0.1880400635516916,814.18760557104,1,True,False
5,8.655368552189266,8.953255099089588,3.4637173235870704,3.821027044730493,2908.823188038595,6622.5774305723335,1.1994825710037322,12467.008937387223,1,False,False
6,8.953255099089588,12.8960772942546,3.821027044730493,4.271116390615765,6622.5774305723335,18668.799463104846,0.11415410678097673,3055.2283202890835,1,False,False
7,12.8960772942546,14.958243884110097,4.271116390615765,4.395996541978722,18668.799463104846,24888.375011130283,0.06055774154100115,3016.0393338839144,1,False,False
8,14.958243884110097,16.99304698643336,4.395996541978722,4.450385009741641,24888.375011130283,28208.82585425284,0.026729105976308298,1631.8290646064904,1,False,False
9,16.99304698643336,18.094054861474728,4.450385009741641,4.571847696412731,28208.82585425284,37311.928491208506,0.11031954396014308,8267.972321827066,1,False,False
10,18.094054861474728,20.23517114835297,4.571847696412731,4.618826549376313,37311.928491208506,41574.45352756854,0.021941289808260326,1990.7956716236185,1,False,False
11,20.23517114835297,20.77113283575254,4.618826549376313,4.644727940715015,41574.45352756854,44129.39167389625,0.04832694565235227,4767.0163864212,1,False,False
12,20.77113283575254,22.575434149246153,4.644727940715015,4.682100437290477,44129.39167389625,48095.056281727215,0.020713001922666018,2197.894873862486,1,False,True
13,22.575434149246153,25.052836495931935,4.682100437290477,4.706998911613473,48095.056281727215,50932.959462337865,0.010050234414407885,1145.5156585312593,1,False,False
14,25.052836495931935,25.830186644774464,4.706998911613473,4.708725323703765,50932.959462337865,51135.83167273061,0.002220893754073177,260.97918768629387,1,False,False
