pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,1.5563930650878446,4.8692793714917215,2.6778751049772085,2.6965847192873653,476.29399380607344,497.2613667142298,0.0056475268330189185,6.32903485629011,1,False,False
2,4.8692793714917215,5.60972694826731,2.6965847192873653,2.7292046000130705,497.2613667142298,536.0491355764507,0.044054274399484575,52.38422013767561,1,False,False
3,5.60972694826731,7.703587406453424,2.7292046000130705,3.1435311828250434,536.0491355764507,1391.6537135362194,0.19787688391178604,408.62540510506057,1,True,False
4,7.703587406453424,8.25610595025945,3.1435311828250434,3.205750351717902,1391.6537135362194,1606.0177901128134,0.11261010076559917,387.9762570500288,1,False,False
5,8.25610595025945,9.385031823620936,3.205750351717902,3.55407160685835,1606.0177901128134,3581.55485227775,0.30854218453093624,1749.9262872615209,1,False,False
6,9.385031823620936,10.327075602088385,3.55407160685835,3.7381830249577046,3581.55485227775,5472.465407090498,0.19543828249561138,2007.2427609351134,1,False,False
7,10.327075602088385,11.749463169050113,3.7381830249577046,3.8108772430098363,5472.465407090498,6469.597212916873,0.051107180448300205,701.0268009838453,1,False,False
8,11.749463169050113,14.4128236309483,3.8108772430098363,4.171801403764803,6469.597212916873,14852.563019448236,0.13551457488324167,3147.514550304916,1,False,False
9,14.4128236309483,15.782150786486358,4.171801403764803,4.265645865296681,14852.563019448236,18435.115601741552,0.06853326551827746,2616.286814881429,1,False,False
10,15.782150786486358,17.60882646366811,4.265645865296681,4.458801788854928,18435.115601741552,28760.8547540793,0.10574177231956924,5652.749024538722,1,False,False
11,17.60882646366811,18.40742633587667,4.458801788854928,4.48846780229235,28760.8547540793,30794.120317081317,0.03714753090978958,2546.037926826775,1,False,False
12,18.40742633587667,19.705987555557062,4.48846780229235,4.595484197493301,30794.120317081317,39398.90914540045,0.08241151328028289,6626.402127145761,1,False,False
13,19.705987555557062,20.747188203303423,4.595484197493301,4.634250065941252,39398.90914540045,43077.45782825722,0.037231890444804,3532.9873169199836,1,False,False
14,20.747188203303423,23.3272877790249,4.634250065941252,4.678162459528801,43077.45782825722,47660.9241965383,0.017019650714554174,1776.4687888061057,1,False,True
