pair_idx,depth_top,depth_bottom,log10_sec_top,log10_sec_bottom,sec_top_uS_cm,sec_bottom_uS_cm,slope_log10,slope_linear_uS_cm_per_m,slope_sign,is_top_of_mixing,is_bottom_of_mixing
1,1.8237421669826823,3.589515700501423,2.9915495083266794,2.9924138719879334,980.7301083723036,982.6839706620841,0.0004895099200697139,1.1065191841940178,1,False,False
2,3.589515700501423,4.695355818565649,2.9924138719879334,2.995311133355816,982.6839706620841,989.2615587401997,0.002619964062213653,5.948046169304885,1,False,False
3,4.695355818565649,5.509513700458454,2.995311133355816,3.0053482529068405,989.2615587401997,1012.3909468843262,0.012328222540436248,28.408971599407614,1,False,False
4,5.509513700458454,6.469083445836196,3.0053482529068405,3.052608133246334,1012.3909468843262,1128.7769522013741,0.049251115478728937,121.28978209002582,1,False,False
5,6.469083445836196,8.65503143016018,3.052608133246334,3.46365393113932,1128.7769522013741,2908.3986282701044,0.188040063551697,814.118949229749,1,True,False
6,8.65503143016018,8.93950207381834,3.46365393113932,3.8038746265627514,2908.3986282701044,6366.117153937127,1.195978224847215,12154.92214311596,1,False,False
7,8.93950207381834,11.227329403075686,3.8038746265627514,4.103696440548832,6366.117153937127,12696.863204664161,0.13105089276270096,2767.143293450414,1,False,False
8,11.227329403075686,12.14499165677693,4.103696440548832,4.144344631395957,12696.863204664161,13942.627716931742,0.04429537194450003,1357.5414126962148,1,False,False
9,12.14499165677693,12.535827977908395,4.144344631395957,4.254595137004211,13942.627716931742,17971.947324159657,0.2820886894265105,10309.480949884855,1,False,False
10,12.535827977908395,19.052890814983527,4.254595137004211,4.593432116731942,17971.947324159657,39213.18485888555,0.051992283671121096,3259.3267957899566,1,False,False
11,19.052890814983527,19.51310227137675,4.593432116731942,4.602233102785107,39213.18485888555,40015.94733254889,0.019123787404467598,1744.3339632497718,1,False,False
12,19.51310227137675,22.04601149272273,4.602233102785107,4.675391232923014,40015.94733254889,47357.76879441005,0.028883044651332155,2898.572676820899,1,False,False
13,22.04601149272273,24.967366710565027,4.675391232923014,4.706737243544799,47357.76879441005,50902.28093546024,0.010729955203782914,1213.3109042686567,1,False,True
14,24.967366710565027,25.80660820149867,4.706737243544799,4.708713605489126,50902.28093546024,51134.45193480574,0.002354938317132371,276.6438526379423,1,False,False
