ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp),confidence_interval_1 (sec),confidence_interval_2 (sec),confidence_interval_1 (vp),confidence_interval_2 (vp)
LRS70_D_YSI_20220131,8034.4088957419635,52658.957565455166,8.846711235916274,13.065781916563083,"(np.float64(7782.94361713816), np.float64(8285.874174345767))","(np.float64(52606.14581265697), np.float64(52711.76931825336))","(np.float64(8.497219725699487), np.float64(8.889725007470838))","(np.float64(13.061649593626875), np.float64(13.329604067094431))"
LRS70_D_YSI_20220816,7055.468864356856,50203.549405624195,7.998579345194143,12.070578331195733,"(np.float64(6981.8196728776065), np.float64(7129.118055836106))","(np.float64(50132.398616138504), np.float64(50274.70019510989))","(np.float64(7.765894602394786), np.float64(8.021098515289065))","(np.float64(12.067398062534801), np.float64(12.346461445645314))"
LRS70_D_YSI_20230822,550.0584330534409,50927.719920004936,10.960402908442074,14.228955240420923,"(np.float64(533.3015044648872), np.float64(566.8153616419946))","(np.float64(50867.71484871388), np.float64(50987.724991295996))","(np.float64(10.06588063637058), np.float64(10.961626468716538))","(np.float64(14.2033246031821), np.float64(14.458070942473132))"
LRS70_D_YSI_20251123,5304.999242267225,52318.123230553516,9.971208116447901,14.438194911347395,"(np.float64(5243.166513316825), np.float64(5366.831971217624))","(np.float64(52276.803529110584), np.float64(52359.44293199645))","(np.float64(9.589208265567589), np.float64(9.991215993341084))","(np.float64(14.435052481569835), np.float64(14.591224395377575))"
LRS70_D_YSI_R_20250226,5918.841431142537,52151.5487004337,9.97014173417374,15.41485566560591,"(np.float64(5857.397604315973), np.float64(5980.285257969101))","(np.float64(52080.689092131746), np.float64(52222.40830873565))","(np.float64(9.677877696456598), np.float64(9.98329851333884))","(np.float64(15.407586386422413), np.float64(15.73646956494561))"
