ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp),confidence_interval_1 (sec),confidence_interval_2 (sec),confidence_interval_1 (vp),confidence_interval_2 (vp)
LRS70_D_YSI_20220131,8035.251254998438,52663.643044828495,8.847226092423323,13.085837768653438,"(np.float64(7783.56532970366), np.float64(8286.937180293215))","(np.float64(52611.604068833294), np.float64(52715.6820208237))","(np.float64(8.497498295243378), np.float64(8.890257082182583))","(np.float64(13.081688503539073), np.float64(13.345880703099505))"
LRS70_D_YSI_20220816,7107.298298666798,50202.81427046602,8.046203183018951,12.070455558927845,"(np.float64(7030.161554870536), np.float64(7184.435042463059))","(np.float64(50131.659321569015), np.float64(50273.969219363025))","(np.float64(7.808582724382406), np.float64(8.069442984749413))","(np.float64(12.067274092274618), np.float64(12.346289329707497))"
LRS70_D_YSI_20230822,551.9514892712058,50928.06884973969,10.968729072443871,14.228645481309007,"(np.float64(535.0155987078575), np.float64(568.887379834554))","(np.float64(50868.07695628759), np.float64(50988.060743191796))","(np.float64(10.078088823897026), np.float64(10.969951657943323))","(np.float64(14.203032559066868), np.float64(14.457745665280505))"
LRS70_D_YSI_20251123,5311.214839849163,52316.98405277843,9.97976487955997,14.43507916070239,"(np.float64(5249.26822763885), np.float64(5373.161452059476))","(np.float64(52275.531513915535), np.float64(52358.43659164133))","(np.float64(9.599030204318492), np.float64(9.99975159707498))","(np.float64(14.431941127277907), np.float64(14.588580588500758))"
LRS70_D_YSI_R_20250226,5901.795520203126,52161.688571820676,9.92922790693683,15.430075668749899,"(np.float64(5840.073204357281), np.float64(5963.517836048972))","(np.float64(52090.97427660748), np.float64(52232.402867033874))","(np.float64(9.633942457033566), np.float64(9.94265083508169))","(np.float64(15.422759475843176), np.float64(15.752151810050075))"
