ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp),confidence_interval_1 (sec),confidence_interval_2 (sec),confidence_interval_1 (vp),confidence_interval_2 (vp)
LRS70_D_YSI_20220131,8035.238869673147,52663.62435798796,8.84725920520075,13.085749438105264,"(np.float64(7783.5242620539275), np.float64(8286.953477292365))","(np.float64(52611.58598581194), np.float64(52715.66273016398))","(np.float64(8.497491530257067), np.float64(8.8902959899626))","(np.float64(13.081601326528743), np.float64(13.345789026017753))"
LRS70_D_YSI_20220816,7111.640879832969,50202.76934032782,8.047765960538763,12.070426518673829,"(np.float64(7033.772826276994), np.float64(7189.508933388945))","(np.float64(50131.6117670531), np.float64(50273.92691360253))","(np.float64(7.80854190657122), np.float64(8.071223610191801))","(np.float64(12.067245094125086), np.float64(12.346266550683852))"
LRS70_D_YSI_20230822,551.956376540559,50928.06193944497,10.96871887554179,14.228644778256132,"(np.float64(535.0189450919552), np.float64(568.8938079891627))","(np.float64(50868.07004224573), np.float64(50988.053836644205))","(np.float64(10.07804107260246), np.float64(10.969941718478259))","(np.float64(14.203033217869862), np.float64(14.457744026353387))"
LRS70_D_YSI_20251123,5311.264422218623,52318.019409438086,9.979790873581713,14.43815438920242,"(np.float64(5249.31332251211), np.float64(5373.215521925135))","(np.float64(52276.681612384855), np.float64(52359.35720649132))","(np.float64(9.599048439986433), np.float64(9.999778829386951))","(np.float64(14.435010705817323), np.float64(14.591243720028992))"
LRS70_D_YSI_R_20250226,5901.411880575772,52169.930673360264,9.92954515683298,15.44503899161453,"(np.float64(5839.434570764655), np.float64(5963.389190386888))","(np.float64(52099.39822007847), np.float64(52240.46312664206))","(np.float64(9.633006944007409), np.float64(9.943018237490511))","(np.float64(15.437678261217371), np.float64(15.767122872898709))"
