ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp),confidence_interval_1 (sec),confidence_interval_2 (sec),confidence_interval_1 (vp),confidence_interval_2 (vp)
LRS70_D_YSI_20220131,8544.216990718112,52702.72688539709,8.694452351756404,12.850997794318017,"(np.float64(8442.061630251023), np.float64(8646.372351185202))","(np.float64(52683.75477803777), np.float64(52721.69899275641))","(np.float64(8.564227138739042), np.float64(8.711649189763671))","(np.float64(12.849424609636486), np.float64(12.949732950335717))"
LRS70_D_YSI_20220816,6789.000672967967,50299.84114082373,7.595877733188765,11.883386285552337,"(np.float64(6774.011833804325), np.float64(6803.989512131609))","(np.float64(50265.4606334569), np.float64(50334.221648190556))","(np.float64(7.531076029429471), np.float64(7.60025158405508))","(np.float64(11.88152447162752), np.float64(12.02344317573403))"
LRS70_D_YSI_20230822,714.1438930387042,50945.11911916923,11.054450734451233,13.550224211607178,"(np.float64(692.8082560344901), np.float64(735.4795300429182))","(np.float64(50913.941845554626), np.float64(50976.29639278383))","(np.float64(10.455447554519608), np.float64(11.055400370268353))","(np.float64(13.543656979625055), np.float64(13.682136809521605))"
LRS70_D_YSI_20251123,8415.413632914919,52262.699238767185,12.129622408793582,14.046682059330214,"(np.float64(8279.409856543321), np.float64(8551.417409286516))","(np.float64(52246.9590192578), np.float64(52278.43945827657))","(np.float64(11.876444799193578), np.float64(12.141171507348075))","(np.float64(14.04587521078662), np.float64(14.10686321552644))"
LRS70_D_YSI_R_20250226,6075.421922820838,52158.57320128397,9.8496599687447,14.735741937038913,"(np.float64(6061.581325575927), np.float64(6089.2625200657485))","(np.float64(52136.15579497734), np.float64(52180.990607590604))","(np.float64(9.789189656059325), np.float64(9.852397054169307))","(np.float64(14.733979956772956), np.float64(14.848157402556794))"
