Vertical Position [m],Corrected sp Cond [uS/cm]
4.628,5525.170357487913
4.635,5525.011574879218
4.642,5524.649478260861
4.649,5524.091903381633
4.663,5523.3530048309085
4.668,5522.469429951681
4.674,5521.275130434773
4.687,5520.72761352656
4.688,5519.478840579701
4.691,5518.105082125594
4.692,5517.459497584532
4.694,5516.874647342986
4.697,5516.430009661825
4.7,5515.627400966174
4.702,5515.575323671487
4.703,5515.252811594193
4.704,5515.472879227043
4.711,5516.052264090167
4.712,5516.826521739121
4.716,5517.760927536222
4.719,5518.342981078896
4.72,5518.598154349415
4.721,5518.788095399125
4.722,5518.774571973999
4.724,5519.791618357634
4.728,5521.071766537805
4.73,5521.531819382046
4.732,5521.8681886911945
4.733,5522.133560566616
4.734,5522.47758782883
4.736,5522.925227337959
4.737,5523.684789604605
4.738,5523.712140482198
4.739,5524.292152296484
4.74,5525.742409588523
4.741,5526.4372698462375
4.742,5527.3722499778405
4.743,5527.222712302173
4.744,5528.111613340973
4.745,5527.425890292309
4.746,5527.688306441207
4.747,5526.844175797326
4.748,5525.781372756802
4.749,5525.290303116736
4.75,5524.529620661348
4.751,5523.00309592204
4.752,5521.446052962219
4.757,5519.9903804119085
4.765,5518.634818048433
4.773,5517.389876234427
4.774,5516.282593206382
4.787,5515.430588317459
4.801,5514.8833328561705
4.805,5514.6883180278965
4.811,5514.772360559307
4.817,5515.079666589976
4.826,5515.715508626629
4.831,5516.664347826078
4.837,5517.999188405787
4.841,5519.028289855063
4.869,5520.210202898541
4.881,5520.774685990328
4.886,5521.959149758444
4.903,5522.299632850232
4.911,5523.325410628009
4.922,5523.58245410627
4.926,5524.434879227043
4.942,5525.3493913043385
4.952,5525.3387246376715
4.957,5525.058724637672
4.968,5525.378125603856
4.97,5525.717004830908
4.971,5526.036425120763
4.978,5526.371710144918
4.981,5526.749816425111
4.982,5527.2333913043385
4.997,5527.783323671488
5.003,5528.422898550715
5.01,5529.181835748782
5.016,5530.057487922695
5.031,5531.087227053131
5.034,5532.290473429942
5.036,5533.641951690812
5.055,5535.141275362309
5.062,5536.832560386463
5.068,5538.625893719797
5.083,5540.504792270523
5.092,5542.457855072455
5.095,5544.481178743951
5.109,5546.585913043468
5.117,5548.7624541062705
5.122,5550.990328502406
5.129,5553.224502415449
5.141,5555.515004830909
5.145,5557.846763285015
5.155,5560.211526570039
5.161,5562.588560386464
5.165,5565.015082125594
5.168,5567.502260869556
5.18,5570.047719806753
5.184,5572.647826086946
5.187,5575.251816425111
5.194,5577.858280193227
5.197,5580.417565217381
5.204,5582.989333333324
5.209,5585.667033816415
5.213,5588.4331207729365
5.218,5591.347826086947
5.229,5594.293217391296
5.233,5597.157835748782
5.234,5600.004309178734
5.247,5602.803246376802
5.252,5605.578318840569
5.254,5608.360019323661
5.265,5611.159111111101
5.269,5614.069043478251
5.273,5616.967710144918
5.28,5619.909536231874
5.282,5622.891111111102
5.286,5625.939159420281
5.296,5629.071652173903
5.299,5632.344222222212
5.304,5635.771246376801
5.312,5639.340975845401
5.317,5643.144811594193
5.318,5646.915294685981
5.33,5650.71109178743
5.337,5654.543855072454
5.339,5658.504057971005
5.353,5662.58399999999
5.358,5666.709700483082
5.364,5670.870956521729
5.37,5674.943053140087
5.38,5678.983053140087
5.383,5683.163826086946
5.384,5687.285024154579
5.398,5691.415400966173
5.403,5695.601681159411
5.407,5699.6830628019225
5.416,5703.713719806754
5.422,5707.855217391294
5.423,5712.490608695642
5.432,5717.369188405787
5.436,5722.55638647342
5.438,5728.09568115941
5.446,5734.023207729459
5.45,5740.311739130425
5.454,5747.152521739121
5.455,5754.65838647342
5.466,5762.501140096608
5.469,5752.088125603856
5.479,5747.921855072454
5.484,5752.896028985497
5.488,5765.7336618357385
5.494,5784.76045410627
5.498,5809.47845410627
5.5,5838.890309178733
5.504,5872.962512077285
5.513,5908.9944057970915
5.515,5947.7269758454
5.522,5988.899275362309
5.526,6029.8099323671395
5.53,6068.920570048299
5.534,6103.59420289854
5.547,6135.073507246367
5.554,6162.699787439602
5.556,6185.443342995159
5.566,6204.037468599024
5.571,6218.896483091777
5.572,6230.173681159409
5.576,6237.568009661825
5.587,6240.648502415448
5.588,6238.838676328492
5.589,6231.151265700471
5.591,6216.72368115941
5.596,6222.311033816414
5.601,6232.593420289844
5.603,6245.021913043468
5.618,6258.750463768105
5.625,6274.311690821244
5.629,6291.587507246366
5.637,6309.623246376801
5.641,6327.126850241535
5.65,6345.529101449265
5.665,6362.508879227043
5.669,6375.897816425109
5.671,6385.903565217381
5.687,6392.559574879215
5.69,6398.2172463768
5.691,6402.113275362308
5.694,6404.833053140086
5.696,6407.656830917864
5.698,6410.751043478249
5.706,6414.105217391293
5.71,6417.601381642501
5.713,6421.356193236704
5.72,6425.669391304336
5.726,6430.180695652163
5.732,6434.919169082114
5.737,6439.9188405796995
5.746,6445.232502415448
5.751,6450.985004830907
5.753,6456.517526570036
5.766,6462.266473429941
5.774,6468.395980676317
5.777,6474.053913043467
5.79,6479.892714975833
5.796,6485.7484057970905
5.8,6491.59174879226
5.805,6497.405719806752
5.814,6503.200579710134
5.818,6509.034608695641
5.828,6514.822028985496
5.834,6520.199439613516
5.84,6525.30092753622
5.844,6530.310570048297
5.857,6535.41615458936
5.862,6540.764231884047
5.863,6546.390202898539
5.875,6552.3279227053035
5.881,6558.54854106279
5.887,6565.0494299516795
5.893,6571.7012946859795
5.908,6578.520657004819
5.912,6585.519516908202
5.915,6592.710454106269
5.929,6600.111845410616
5.934,6607.772869565206
5.939,6615.6656425120655
5.952,6623.707574879216
5.958,6631.7414492753505
5.959,6639.416966183563
5.969,6647.960714975834
5.975,6655.910705313998
5.98,6663.751710144916
5.988,6671.412946859892
5.994,6678.8279033816325
5.995,6685.756869565206
6.0,6692.865101449264
6.01,6700.031787439602
6.015,6707.224193236703
6.02,6714.334685990327
6.03,6721.313352656993
6.032,6728.183748792258
6.033,6734.924869565206
6.039,6741.558995169071
6.046,6747.892599033804
6.048,6753.9873816425
6.061,6759.817333333322
6.069,6765.394956521727
6.073,6770.761294685979
6.076,6775.971903381631
6.084,6780.995613526558
6.085,6785.857159420279
6.086,6790.28465700482
6.096,6794.484077294674
6.102,6799.186338164239
6.105,6802.6549758454
6.122,6806.854038647331
6.132,6811.322695652162
6.136,6815.022657004819
6.154,6818.671314009651
6.164,6822.264589371969
6.171,6825.612570048298
6.177,6828.852647342984
6.185,6831.993072463757
6.186,6835.061787439602
6.187,6838.060454106268
6.189,6840.968821256028
6.19,6843.785033816413
6.192,6846.5813816425
6.193,6849.148241545881
6.196,6851.599816425109
6.201,6853.975449275351
6.208,6856.293903381631
6.221,6858.599198067621
6.225,6860.892589371969
6.226,6863.158463768104
6.238,6865.473033816412
6.244,6867.804164251195
6.254,6870.25131400965
6.26,6872.640589371968
6.264,6875.4005893719695
6.266,6877.7741545893605
6.278,6879.507285024143
6.287,6881.726241545883
6.294,6884.016367149748
6.307,6886.313468599022
6.313,6888.610666666656
6.314,6890.89474396134
6.32,6893.160173913032
6.332,6895.411207729457
6.336,6897.67654106279
6.339,6899.990840579698
6.35,6902.298628019313
6.357,6904.521256038635
6.359,6906.671932367137
6.37,6908.762550724625
6.374,6910.854154589359
6.379,6912.945545893707
6.387,6915.020956521727
6.392,6917.100966183563
6.396,6919.133613526558
6.4,6921.02465700482
6.412,6922.649014492741
6.415,6924.553816425108
6.418,6926.36681159419
6.429,6928.006589371969
6.432,6929.635507246364
6.441,6931.31499516907
6.446,6932.962927536219
6.447,6934.4774299516785
6.457,6936.155545893707
6.462,6937.727690821243
6.464,6939.312570048297
6.468,6940.92081159419
6.476,6942.540144927524
6.477,6944.178434782597
6.478,6945.817362318829
6.484,6947.443690821243
6.487,6949.053980676316
6.489,6950.69474396134
6.495,6952.3648888888765
6.497,6954.026299516896
6.498,6955.679227053127
6.506,6957.333120772934
6.511,6958.963439613514
6.514,6960.557777777764
6.518,6962.120830917863
6.529,6963.927942028973
6.53,6965.401932367136
6.532,6966.819091787428
6.541,6968.338376811583
6.545,6969.869932367137
6.547,6971.398434782597
6.558,6972.928830917862
6.564,6974.547400966172
6.565,6975.921932367137
6.574,6977.3102222222105
6.58,6978.70235748791
6.583,6980.105352656993
6.589,6981.55035748791
6.593,6983.066743961339
6.595,6984.551420289843
6.597,6986.048618357476
6.606,6987.551458937186
6.609,6989.065062801921
6.61,6990.608966183563
6.619,6992.180927536219
6.624,6993.783400966172
6.633,6995.452734299504
6.637,6997.0824541062675
6.641,6998.717661835735
6.647,7000.354241545881
6.652,7002.0021642511965
6.654,7003.661429951679
6.661,7005.331845410617
6.665,7007.003304347813
6.668,7008.711729468587
6.671,7010.340637681147
6.68,7011.932483091776
6.685,7013.480695652162
6.687,7015.039362318828
6.697,7016.64183574878
6.703,7018.2306086956405
6.707,7019.830589371969
6.714,7021.439884057958
6.717,7023.054164251195
6.719,7024.649797101435
6.72,7026.232251207717
6.727,7027.802299516896
6.729,7029.373101449262
6.732,7030.9486763284895
6.735,7032.533816425108
6.738,7034.1293913043355
6.74,7035.705719806751
6.758,7037.25808695651
6.767,7038.789874396123
6.772,7040.293236714963
6.787,7041.770685990325
6.795,7043.230202898538
6.801,7044.668347826075
6.81,7046.082260869553
6.815,7047.425642512066
6.819,7048.778106280181
6.822,7050.099207729456
6.833,7051.378492753612
6.839,7052.64247342994
6.842,7053.8871304347695
6.855,7055.131323671485
6.861,7056.373294685977
6.864,7057.6220289854955
6.875,7058.846183574867
6.881,7060.041410628008
6.886,7061.215574879215
6.896,7062.388734299505
6.903,7063.566531400955
6.908,7064.7448888888775
6.917,7065.931536231872
6.925,7067.12892753622
6.928,7068.334222222209
6.929,7069.497777777766
6.941,7070.648251207717
6.949,7071.8467826086835
6.953,7073.086106280181
6.965,7074.36079227052
6.971,7075.674164251195
6.972,7077.04299516907
6.977,7078.522202898539
6.99,7079.957719806751
6.994,7081.400753623177
6.995,7082.930975845398
7.009,7084.529468599021
7.013,7086.207323671486
7.025,7087.954975845399
7.029,7089.764115942016
7.03,7091.6692753623065
7.04,7093.559304347814
7.046,7095.474434782596
7.048,7097.403207729456
7.061,7099.335999999988
7.067,7101.2673043478135
7.07,7103.1908405796985
7.082,7105.10197101448
7.088,7107.0465893719675
7.09,7108.888908212548
7.104,7110.714763285011
7.108,7112.541739130422
7.113,7114.290067632838
7.12,7115.974570048297
7.126,7117.675304347814
7.129,7119.461816425108
7.132,7121.258879227041
7.142,7123.000405797089
7.145,7124.80299516907
7.152,7126.6986280193105
7.158,7128.642318840566
7.163,7130.597642512065
7.165,7132.637294685978
7.177,7134.766937198055
7.181,7136.991072463756
7.191,7139.245082125591
7.195,7141.5593816425
7.197,7143.929198067621
7.208,7146.341681159407
7.214,7148.79781642511
7.218,7151.268927536219
7.222,7153.8108405796975
7.236,7156.344386473417
7.239,7158.69731400965
7.252,7161.243342995157
7.259,7163.588463768103
7.264,7165.871033816413
7.283,7168.141951690809
7.289,7170.441545893707
7.29,7172.727420289843
7.302,7174.863188405784
7.311,7176.963014492741
7.317,7179.0176231883925
7.326,7181.023536231871
7.339,7182.985545893707
7.34,7184.9047149758335
7.341,7186.910028985496
7.352,7188.874550724626
7.358,7190.820714975832
7.359,7192.740231884046
7.371,7194.647169082114
7.376,7196.499980676315
7.385,7198.3215072463645
7.39,7200.181932367138
7.392,7202.129893719795
7.398,7204.093971014479
7.413,7205.992521739117
7.417,7207.891826086945
7.424,7209.954067632837
7.435,7211.810570048297
7.441,7213.791304347814
7.444,7215.801468599021
7.452,7217.9302415458815
7.456,7220.072869565205
7.465,7222.229623188392
7.471,7224.476193236702
7.476,7226.765565217378
7.483,7229.1113236714855
7.501,7231.526763285012
7.506,7234.015362318827
7.511,7236.582975845398
7.525,7239.235845410616
7.528,7241.9302801932245
7.531,7244.588946859891
7.547,7247.252077294674
7.554,7249.976096618344
7.558,7252.813468599023
7.574,7255.753487922693
7.582,7258.819652173899
7.587,7261.819787439601
7.594,7264.833429951679
7.614,7267.881062801918
7.619,7270.932502415446
7.624,7273.969565217379
7.633,7276.985739130421
7.638,7279.998512077281
7.651,7283.069951690809
7.654,7285.98997101448
7.657,7288.8288502415335
7.667,7291.588753623176
7.674,7294.271980676315
7.678,7296.816995169069
7.684,7299.20603864733
7.694,7301.657748792258
7.696,7304.533304347813
7.698,7307.280434782595
7.706,7310.000589371968
7.707,7312.723468599021
7.708,7315.537362318827
7.713,7318.45776811593
7.718,7321.312599033804
7.719,7323.97301449274
7.73,7327.072207729455
7.736,7330.233750724625
7.747,7333.522006763273
7.748,7336.876857971002
7.75,7340.096931815032
7.754,7343.349550862651
7.755,7346.575591266692
7.759,7349.75185838508
7.765,7352.730624681585
7.767,7355.501845711763
7.768,7358.032149494937
7.769,7360.288009461057
7.77,7362.257947349257
7.771,7363.940726444557
7.772,7365.439399887057
7.773,7366.966305841006
7.774,7368.358062663894
7.775,7369.161907070694
7.776,7369.85888253967
7.777,7370.3137620176785
7.778,7370.596767726947
7.78,7370.701851358291
7.792,7370.65038489239
7.793,7370.633015672239
7.798,7371.014236451458
7.803,7371.256018244545
7.804,7371.54213206599
7.806,7371.837929606612
7.81,7372.149528740811
