ID,Zone,mean,std,cv,min,max,median,25%,50%,75%,iqr,count,outliers
AW1D_YSI_20230826,MZ,21892.864300392866,11752.932378390644,53.6838497563781,2016.8,37626.8,24382.8,10811.4,24382.8,32095.9,21284.5,1103,0
AW1D_YSI_20230826,SL,41240.962828396194,2082.797998201897,5.050313705983121,37647.9,45891.4,41399.9,39354.15,41399.9,42646.05,3291.9000000000015,620,0
AW2D_YSI_20230815,MZ,3584.015501165501,2496.8124984497963,69.66522599128957,892.8,7761.7,2923.375,1091.3875,2923.375,5723.049999999999,4631.662499999999,286,0
AW5D_YSI_20230824,MZ,12767.180233022847,9808.145383155093,76.82311367224153,1328.6,36555.8,10932.9,5266.875,10932.9,17342.275,12075.400000000001,2167,26
AW5D_YSI_20230824,SL,42930.65803520721,3228.597345091565,7.520493495449822,36626.15,47594.73571428571,42832.9,41930.65,42832.9,45319.0,3388.3499999999985,159,3
AW6D_YSI_20230815,MZ,12544.84244472084,8398.180324540144,66.94528338276814,2090.45,29770.3,9513.6,4934.6,9513.6,20049.5,15114.9,1005,0
AW6D_YSI_20230815,SL,33603.07261530398,1909.5594113733941,5.682692869293494,29820.8,36355.7,33911.1,32547.300000000003,33911.1,35136.45,2589.149999999994,106,0
AW7D_YSI_20230814,MZ,18110.416582000627,11958.32643806848,66.03010142766944,2080.3,44268.4,15156.8,7996.9,15156.8,27040.6,19043.699999999997,3189,0
AW7D_YSI_20230814,SL,46689.14402830512,1196.4171268797227,2.5625167301298117,44295.4,48613.4,46896.2,45759.3375,46896.2,47679.424999999996,1920.0874999999942,424,0
BW10D_YSI_20230825,MZ,17065.91989623075,17566.681664445132,102.93427937819504,2039.0,52007.5,6259.95,5361.6,6259.95,38225.0,32863.4,2696,0
BW10D_YSI_20230825,SL,52221.57974278117,153.52849034017672,0.29399434313627726,52009.6,52634.7,52148.4,52135.375,52148.4,52225.425,90.05000000000291,1564,287
BW11D_YSI_20230823,MZ,14572.70734072022,17328.99033337083,118.91400772832914,637.6,47820.6,3091.55,1365.925,3091.55,32947.8,31581.875000000004,722,0
BW11D_YSI_20230823,SL,50850.19719542793,1128.3374477359775,2.218944094551966,47858.6,52274.82,51422.55,49755.25,51422.55,51851.2,2095.949999999997,1062,0
BW1D_YSI_20230824,MZ,32459.17773986766,13348.386709938846,41.123613225555694,3546.0,51003.6,35844.2,21982.175,35844.2,43344.925,21362.750000000004,1612,0
BW1D_YSI_20230824,SL,52652.81183831377,556.1370496514234,1.0562342830981348,51018.2,53353.55,52803.2,52287.95,52803.2,53140.8,852.8500000000058,1181,0
BW2D_YSI_20230819,MZ,13383.990149341194,8058.932458787836,60.213227661292954,2495.45,33778.575,11176.55,7767.35,11176.55,18753.1,10985.749999999998,2538,0
BW3D_YSI_20230818,MZ,19905.29231750893,11069.093571158124,55.60879686967278,4262.5,42551.6,19513.65,10400.3,19513.65,27500.324999999997,17100.024999999998,1306,0
BW3D_YSI_20230818,SL,47711.88329744591,2572.3094404994285,5.391339143883948,42570.5,52550.9,47742.0,45571.8,47742.0,49907.8,4336.0,1013,0
BW4D_YSI_20230816,MZ,24208.644115284667,13637.523671261644,56.33328164236712,1642.6,46744.7,22322.7,13626.55,22322.7,36894.3,23267.750000000004,1411,0
BW4D_YSI_20230816,SL,51659.23016246031,2440.3537440591017,4.723945239572029,46765.3,54154.3,52586.7,49126.2,52586.7,54098.1,4971.9000000000015,1089,0
BW5D_YSI_20230822,MZ,36444.91054676149,15009.716117780828,41.18466993771946,11643.5,53591.6,39847.1,22804.9,39847.1,51171.1,28366.199999999997,1453,0
BW5D_YSI_20230822,SL,54658.325658035516,266.4558224812568,0.487493568954731,53603.1,55091.80000000001,54763.375,54708.275,54763.375,54782.875,74.59999999999854,2182,602
BW6D_YSI_20230826,MZ,18339.47265138849,9401.149278870738,51.2618299204965,1538.3,32838.3,19350.6,14054.25,19350.6,25667.575,11613.325,2962,0
BW6D_YSI_20230826,SL,43233.65217705766,6615.248401957972,15.30115562494259,32850.3,51950.2,45721.1,35825.1,45721.1,49036.0,13210.900000000001,1421,0
BW7D_YSI_20230826,MZ,13872.254449674962,13988.716964857897,100.83953560400316,1695.3,43281.7,4013.8,1862.25,4013.8,23387.675000000003,21525.425000000003,1487,0
BW7D_YSI_20230826,SL,47506.14736451042,1947.0828047861305,4.09859126198203,43332.1,51044.6,47186.1,45814.375,47186.1,49125.9,3311.5250000000015,1207,0
BW8D_YSI_20230823,MZ,33947.28013264869,15867.289295580054,46.740973749822565,2968.8,46717.7,44461.4,19295.5,44461.4,46276.08833333333,26980.588333333333,779,0
BW8D_YSI_20230823,SL,51968.08640128877,1874.4668470725233,3.606957609711097,46712.16666666666,54018.7,52585.0,50239.1,52585.0,53777.65,3538.550000000003,2749,0
BW9D_YSI_20230823,MZ,18930.000592705168,16283.135222645868,86.01761602120979,5364.5,48046.4,7011.25,6024.174999999999,7011.25,36195.175,30171.000000000004,658,0
BW9D_YSI_20230823,SL,52781.09961771942,2050.7754569089084,3.8854352633085956,48080.3,55442.0,51887.9,51282.9,51887.9,55255.0,3972.0999999999985,1477,0
LRS33D_YSI_20230822,MZ,39342.286326948655,12958.413722360601,32.93762242151228,11070.6,51663.4,44458.6,27250.4,44458.6,50928.5,23678.1,895,0
LRS33D_YSI_20230822,SL,53479.53311542136,898.3390392462289,1.67978100576795,51665.5,54639.833333333336,53846.25,52795.6,53846.25,54128.25,1332.6500000000015,1026,0
