filename,mean,std,cv,min,max,median,25%,50%,75%,iqr
AW1D_YSI_20230826_filter.csv,1555.7076692196233,159.88480550746954,0.10277303935106986,1296.5,3104.0,1539.4,1482.6,1539.4,1563.5,80.90000000000009
AW2D_YSI_20230815_filter.csv,488.37234468937874,149.14726910122923,0.30539663173616416,389.0,1059.2,438.20000000000005,408.42499999999995,438.20000000000005,463.275,54.85000000000002
AW5D_YSI_20230824_filter.csv,754.182971349353,161.64122323202858,0.21432627011297642,685.1,1608.7,703.0,689.0,703.0,707.7,18.700000000000045
AW6D_YSI_20230815_filter.csv,918.4979246313491,844.4586357760065,0.9193909023963672,95.8,3713.3,448.2,433.4,448.2,1219.05,785.65
AW7D_YSI_20230814_filter.csv,569.7773148770326,345.3859388405337,0.6061770622002979,329.1,2274.0,517.2,334.7,517.2,518.1,183.40000000000003
BW10D_YSI_20230825_filter.csv,2023.3823754789273,1634.6491148738507,0.8078794866872038,1275.9,9283.6,1294.2,1285.4,1294.2,1384.15,98.75
BW11D_YSI_20230823_filter.csv,547.2666218856863,377.5379461428868,0.6898610860681129,452.3,4488.4,469.45,463.6,469.45,474.2,10.599999999999966
BW1D_YSI_20230824_filter.csv,2871.7130729862038,266.5601726538624,0.09282270403730652,2467.9,3541.7,3032.8,2522.6,3032.8,3036.1,513.5
BW2D_YSI_20230819_filter.csv,720.1747058823529,347.26654122673386,0.48219763675435584,382.9,2760.8,710.1,440.9,710.1,714.1,273.20000000000005
BW3D_YSI_20230818_filter.csv,648.5710565007352,417.44766267737094,0.6436421398908012,488.8,4562.1,515.6,512.8,515.6,538.9,26.100000000000023
BW4D_YSI_20230816_filter.csv,937.6498173350997,175.36028799101166,0.18702108692283886,395.1,1638.6,1014.4,975.9,1014.4,1017.6,41.700000000000045
BW5D_YSI_20230822_filter.csv,4799.41885577166,2399.009378933109,0.49985413880851864,1763.2,14235.3,5517.9,2561.025,5517.9,5531.4,2970.3749999999995
BW6D_YSI_20230826_filter.csv,524.3040256063031,207.1991070869669,0.39518885411448573,385.7,1595.2,531.9,388.1,531.9,533.3,145.19999999999993
BW7D_YSI_20230826_filter.csv,1157.5368168952755,231.90523948137547,0.20034372652041216,1015.0,2038.5,1086.3,1030.1,1086.3,1094.9,64.80000000000018
BW8D_YSI_20230823_filter.csv,815.9635646493283,449.907028086154,0.5513812718825354,277.4,4810.8,856.7,420.0,856.7,858.2,438.20000000000005
BW9D_YSI_20230823_filter.csv,1689.625967645297,1161.1610707518073,0.6872296549573211,1021.5,7086.1,1360.2,1066.0,1360.2,1372.9,306.9000000000001
LRS33D_YSI_20230822_filter.csv,1782.6616692913385,161.00786237077006,0.09031879977246356,1663.7,2346.3,1713.3,1697.7,1713.3,1780.775,83.07500000000005
LRS65D_YSI_20230827_filter.csv,571.0137105683073,36.69023064273283,0.06425455284815579,430.0,624.4,593.1,537.2,593.1,594.7,57.5
LRS69D_YSI_20230818_filter.csv,708.3831879844961,228.434363278485,0.32247287506699635,360.3,1606.2,854.3,381.375,854.3,855.1,473.725
LRS70D_YSI_20230822_filter.csv,455.78176373136233,104.2375328404433,0.2287005341922387,423.6,1336.5,437.2,426.0,437.2,438.0,12.0
LRS75D_YSI_20230819_filter.csv,979.7502505545059,20.270644981284224,0.020689604284164987,965.2,1272.5,979.3,972.5,979.3,979.9,7.399999999999977
LRS79D_YSI_20230827_filter.csv,1307.3781230654945,118.30170086470494,0.09048774702403253,1133.3,1924.6,1295.1,1219.2,1295.1,1303.2,84.0
LRS81D_YSI_20230823_filter.csv,567.1975102145046,198.61575994817025,0.3501703663562576,320.8,2206.9,596.9,416.2,596.9,597.8,181.59999999999997
LRS89D_YSI_20230825_filter.csv,565.8978619788573,171.64454644205034,0.30331365070339,367.9,1878.4,553.0,479.7,553.0,555.3499999999999,75.64999999999992
LRS90D_YSI_20230827_filter.csv,696.3938467542605,27.06524171806494,0.038864849027902985,649.5,804.3,695.6,677.5,695.6,696.2,18.700000000000045
