ID,Zone,mean,std,cv,min,max,median,25%,50%,75%,iqr,count,outliers,thickness,excluded,exclusion_reason
BW3D_YSI_20230818,FWL,970.6086109611227,645.22697456951,66.47653516391009,488.8,4324.1,528.3,515.5,528.3,1421.125,905.625,1948,48,12.94,False,
BW3D_YSI_20230818,MZ,19905.29231750893,11069.093571158124,55.60879686967278,4262.5,42551.6,19513.65,10400.3,19513.65,27500.324999999997,17100.024999999998,1306,0,7.821,False,
BW3D_YSI_20230818,SZ,47711.88329744591,2572.3094404994285,5.391339143883948,42570.5,52550.9,47742.0,45571.8,47742.0,49907.8,4336.0,1013,0,5.6030000000000015,False,
BW4D_YSI_20230816,FWL,965.6334199098776,202.47095277769313,20.967682829017008,396.2,1638.6,1049.1,1022.9,1049.1,1058.7,35.80000000000007,1857,495,14.121,False,
BW4D_YSI_20230816,MZ,24208.644115284667,13637.523671261644,56.33328164236712,1642.6,46744.7,22322.7,13626.55,22322.7,36894.3,23267.750000000004,1411,0,9.328,False,
BW4D_YSI_20230816,SZ,51659.23016246031,2440.3537440591017,4.723945239572029,46765.3,54154.3,52586.7,49126.2,52586.7,54098.1,4971.9000000000015,1089,0,9.716999999999999,False,
BW5D_YSI_20230822,FWL,6561.900146005308,1997.374006909945,30.438957656584996,1763.2,11637.4,5840.049999999999,5530.3173780487805,5840.049999999999,7370.03125,1839.7138719512195,1512,188,10.252,False,
BW5D_YSI_20230822,MZ,36444.91054676149,15009.716117780828,41.18466993771946,11643.5,53591.6,39847.1,22804.9,39847.1,51171.1,28366.199999999997,1453,0,8.838,False,
BW5D_YSI_20230822,SZ,54658.325658035516,266.4558224812568,0.487493568954731,53603.1,55091.80000000001,54763.375,54708.275,54763.375,54782.875,74.59999999999854,2182,602,15.136000000000003,False,
BW6D_YSI_20230826,FWL,601.1043990169148,268.9747149078292,44.74675536358209,386.7,1538.0,531.8,522.75,531.8,532.4,9.649999999999977,2402,915,9.703,False,
BW6D_YSI_20230826,MZ,18339.47265138849,9401.149278870738,51.2618299204965,1538.3,32838.3,19350.6,14054.25,19350.6,25667.575,11613.325,2962,0,11.481,False,
BW6D_YSI_20230826,SZ,43233.65217705766,6615.248401957972,15.30115562494259,32850.3,51950.2,45721.1,35825.1,45721.1,49036.0,13210.900000000001,1421,0,6.997,False,
BW7D_YSI_20230826,FWL,1175.0488260033535,184.75805268488864,15.723436217820735,1016.8,1694.8,1093.7,1076.25,1093.7,1204.2,127.95000000000005,2963,462,10.099,False,
BW7D_YSI_20230826,MZ,13872.254449674962,13988.716964857897,100.83953560400316,1695.3,43281.7,4013.8,1862.25,4013.8,23387.675000000003,21525.425000000003,1487,0,7.725000000000001,False,
BW7D_YSI_20230826,SZ,47506.14736451042,1947.0828047861305,4.09859126198203,43332.1,51044.6,47186.1,45814.375,47186.1,49125.9,3311.5250000000015,1207,0,8.288,False,
BW8D_YSI_20230823,FWL,1095.3482397139778,395.0330287975696,36.064606165863964,278.5,3036.0,863.2,856.5,863.2,1486.7,630.2,2525,13,14.609,False,
BW8D_YSI_20230823,MZ,33947.28013264869,15867.289295580054,46.740973749822565,2968.8,46717.7,44461.4,19295.5,44461.4,46276.08833333333,26980.588333333333,779,0,3.3019999999999996,False,
BW8D_YSI_20230823,SZ,51968.08640128877,1874.4668470725233,3.606957609711097,46712.16666666666,54018.7,52585.0,50239.1,52585.0,53777.65,3538.550000000003,2749,0,10.59,False,
BW9D_YSI_20230823,FWL,2240.1211521377486,1059.5797127315145,47.30010748393484,1024.3,5362.0,1750.875,1384.625,1750.875,2968.575,1583.9499999999998,2018,4,12.398,False,
BW9D_YSI_20230823,MZ,18930.000592705168,16283.135222645868,86.01761602120979,5364.5,48046.4,7011.25,6024.174999999999,7011.25,36195.175,30171.000000000004,658,0,3.3970000000000002,False,
BW9D_YSI_20230823,SZ,52781.09961771942,2050.7754569089084,3.8854352633085956,48080.3,55442.0,51887.9,51282.9,51887.9,55255.0,3972.0999999999985,1477,0,12.175999999999998,False,
LRS33D_YSI_20230822,FWL,2966.3010809962084,2892.8014457244594,97.52217885963671,1663.7,11063.4,1717.9,1697.2,1717.9,2254.6499999999996,557.4499999999996,2806,403,15.632000000000001,False,
LRS33D_YSI_20230822,MZ,39342.286326948655,12958.413722360601,32.93762242151228,11070.6,51663.4,44458.6,27250.4,44458.6,50928.5,23678.1,895,0,5.971,False,
LRS33D_YSI_20230822,SZ,53479.53311542136,898.3390392462289,1.67978100576795,51665.5,54639.833333333336,53846.25,52795.6,53846.25,54128.25,1332.6500000000015,1026,0,10.048000000000002,False,
LRS65D_YSI_20220812,FWL,788.1990457793345,238.63292969766232,30.275719182292743,671.2,1662.9,683.8,675.2,683.8,710.5875,35.38749999999993,2980,574,11.295,False,
LRS65D_YSI_20220812,MZ,17584.70544622341,12154.556679910525,69.12004706067401,1663.9,45619.05,17968.9,6109.0,17968.9,24133.3,18024.3,4497,0,13.787,False,
LRS65D_YSI_20220812,SZ,49827.38215342662,1971.9696652391233,3.9576023865093046,45651.5,52218.529032258055,50384.225000000006,48017.475000000006,50384.225000000006,51754.175,3736.699999999997,674,0,2.2390000000000008,False,
LRS69D_YSI_20230818,FWL,793.6420448587586,246.23023572000992,31.025351708002134,361.6,1722.6,855.1999999999999,677.45,855.1999999999999,862.1,184.64999999999998,995,151,8.238,False,
