id,method,fwl_thickness,mean,std,cv,min,max,median,25%,50%,75%,iqr,count,outliers
AW1D_YSI_20230826,IC,16.317073,1575.9514159502196,120.59810474471288,0.07652399910564393,1302.0,2004.8,1525.15,1515.6,1525.15,1605.9,90.30000000000018,3053,269
AW1D_YSI_20230826,BIC,17.169116,1648.8682381957929,354.1476095057849,0.21478223747780872,1302.0,3793.7,1530.2,1515.8,1530.2,1660.4,144.60000000000014,3228,296
AW1D_YSI_20230826,DGH,16.386594180014015,1577.6521608143623,123.38204804752468,0.0782061160958551,1302.0,2015.7,1525.5,1515.6,1525.5,1608.0,92.40000000000009,3065,258
AW2D_YSI_20230815,IC,9.563224,425.6905982905983,25.702609446258855,0.060378616651319446,389.0,478.15,424.85,404.25,424.85,449.2,44.94999999999999,585,0
AW2D_YSI_20230815,BIC,9.907636,428.63228995057665,30.027030372620903,0.07005312263358218,389.0,562.5,425.6,405.125,425.6,450.65,45.52499999999998,607,6
AW2D_YSI_20230815,DGH,11.31988237328448,461.0854256854257,96.07273769858388,0.20836212195552944,389.0,884.2,434.2000000000001,407.35,434.2000000000001,459.15,51.799999999999955,693,92
AW5D_YSI_20230824,IC,14.134225,940.9068047137209,334.34680320290573,0.35534529193317255,685.1,1924.4,756.95,708.2,756.95,1009.975,301.775,2046,272
AW5D_YSI_20230824,BIC,13.652858,891.03777472961,271.08740441779196,0.3042378360446669,685.1,1704.9,753.0,707.7,753.0,998.625,290.92499999999995,1932,173
AW5D_YSI_20230824,DGH,12.09036817649224,805.0823485413606,148.45043425301662,0.1843916147484509,685.1,1326.1,736.0,704.8382107023413,736.0,883.0999999999999,178.26178929765865,1695,74
AW6D_YSI_20230815,IC,13.216555,560.04524609375,299.2069692824304,0.5342549934480543,96.8,1484.7,438.2,431.475,438.2,466.75,35.27499999999998,1280,381
AW6D_YSI_20230815,BIC,13.561559,583.7555797101448,332.9191298939386,0.570305692083054,96.8,1746.2,438.7,431.7,438.7,467.8,36.10000000000002,1311,410
AW6D_YSI_20230815,DGH,13.844801382896753,637.1096732504267,416.32950656463686,0.6534659950155733,96.8,2064.1,439.2,432.2,439.2,647.75,215.55,1367,274
AW7D_YSI_20230814,IC,13.290227,759.1184736627636,366.54922462892404,0.48286168410619207,331.31428571428575,2062.3,564.4,513.95,564.4,985.625,471.67499999999995,2255,91
AW7D_YSI_20230814,BIC,13.290227,759.1184736627636,366.54922462892404,0.48286168410619207,331.31428571428575,2062.3,564.4,513.95,564.4,985.625,471.67499999999995,2255,91
AW7D_YSI_20230814,DGH,13.31641777345843,766.6382310888589,378.68362757581,0.49395348708081566,331.31428571428575,2090.3,567.9000000000001,514.075,567.9000000000001,985.8249999999999,471.7499999999999,2268,104
BW1D_YSI_20230824,IC,14.125652,3032.7123016753667,230.9758807959316,0.07616148774426548,2467.9,3544.3500000000004,3031.9,3019.2,3031.9,3042.0,22.800000000000182,1937,769
BW1D_YSI_20230824,BIC,14.125652,3032.7123016753667,230.9758807959316,0.07616148774426548,2467.9,3544.3500000000004,3031.9,3019.2,3031.9,3042.0,22.800000000000182,1937,769
BW1D_YSI_20230824,DGH,14.11702826234562,3032.7123016753667,230.9758807959316,0.07616148774426548,2467.9,3544.3500000000004,3031.9,3019.2,3031.9,3042.0,22.800000000000182,1937,769
BW2D_YSI_20230819,IC,13.997452,858.6254037858737,243.83838794964333,0.2839869247689443,384.4,1401.4,745.8,697.5,745.8,1148.35,450.8499999999999,2511,0
BW2D_YSI_20230819,BIC,13.997452,858.6254037858737,243.83838794964333,0.2839869247689443,384.4,1401.4,745.8,697.5,745.8,1148.35,450.8499999999999,2511,0
BW2D_YSI_20230819,DGH,14.581115193038546,928.8966426177662,368.95552376303544,0.3971976071775488,384.4,2495.4,755.2,698.2,755.2,1162.4,464.20000000000005,2679,108
BW3D_YSI_20230818,IC,11.701564,817.4963394804548,421.80244528186495,0.5159686042752607,488.8,1621.4,524.1500000000001,514.875,524.1500000000001,1374.325,859.45,1760,0
BW3D_YSI_20230818,BIC,11.701564,817.4963394804548,421.80244528186495,0.5159686042752607,488.8,1621.4,524.1500000000001,514.875,524.1500000000001,1374.325,859.45,1760,0
BW3D_YSI_20230818,DGH,12.974280266081864,970.6086109611227,645.3926510325228,0.6649360450176077,488.8,4324.1,528.3,515.5,528.3,1421.125,905.625,1948,48
BW4D_YSI_20230816,IC,14.358411,978.8398891804253,225.72027996588076,0.23059979723024418,396.2,1887.3,1049.5,1023.7249999999999,1049.5,1059.3,35.575000000000045,1888,526
BW4D_YSI_20230816,BIC,14.358411,978.8398891804253,225.72027996588076,0.23059979723024418,396.2,1887.3,1049.5,1023.7249999999999,1049.5,1059.3,35.575000000000045,1888,526
BW4D_YSI_20230816,DGH,14.12497414285331,965.6334199098776,202.52549040906007,0.20973330689814126,396.2,1638.6,1049.1,1022.9,1049.1,1058.7,35.80000000000007,1857,495
BW5D_YSI_20230822,IC,12.393402,7559.019040602691,2985.312023287625,0.3949337880024181,1763.2,14516.3,6913.55,5542.825,6913.55,8973.675,3430.8499999999995,1792,52
BW5D_YSI_20230822,BIC,11.527182,7136.249655828891,2558.4217939004166,0.3585106908095202,1763.2,13662.6,6741.7,5537.6,6741.7,8596.55,3058.949999999999,1683,28
BW5D_YSI_20230822,DGH,10.262300310511725,6561.900146005308,1998.0348420006185,0.30449028445167114,1763.2,11637.4,5840.049999999999,5530.3173780487805,5840.049999999999,7370.03125,1839.7138719512195,1512,188
