Vertical Position [m],Corrected sp Cond [uS/cm]
2.485,5562.3
2.502,5562.4
2.508,5562.5
2.513,5562.6
2.529,5562.8
2.535,5562.9
2.539,5563.0
2.55,5563.2
2.558,5563.2
2.563,5563.3
2.571,5563.3
2.587,5563.5
2.593,5563.6
2.598,5563.7
2.614,5563.8
2.622,5563.9
2.627,5564.0
2.646,5564.0
2.655,5564.0
2.662,5564.1
2.683,5564.1
2.694,5564.1
2.703,5564.2
2.711,5564.2
2.729,5564.2
2.736,5564.2
2.744,5564.2
2.756,5564.2
2.759,5564.2
2.763,5564.1
2.77,5564.0
2.773,5563.75
2.781,5563.6
2.787,5563.5
2.788,5563.5
2.792,5563.3
2.803,5563.2
2.807,5563.1
2.815,5562.9
2.819,5562.6
2.82,5562.8
2.821,5562.6
2.829,5562.4
2.831,5562.4
2.833,5562.2
2.842,5562.0
2.847,5561.8
2.848,5561.7
2.858,5561.5
2.864,5561.4
2.868,5561.2
2.872,5561.1
2.883,5560.9
2.886,5560.75
2.895,5560.5
2.898,5560.5
2.9,5560.3
2.908,5560.2
2.912,5560.1
2.915,5560.1
2.927,5560.1
2.935,5560.0
2.943,5560.0
2.951,5559.9
2.974,5559.9
2.988,5559.9
3.0,5560.0
3.027,5560.0
3.038,5560.0
3.047,5560.2
3.065,5560.4
3.07,5560.5
3.074,5560.6
3.083,5560.7
3.088,5560.9
3.092,5561.0
3.097,5561.1
3.109,5561.2
3.112,5561.4
3.116,5561.6
3.131,5561.9
3.139,5562.0
3.148,5562.2
3.175,5562.2
3.192,5562.2
3.213,5562.3
3.265,5562.3
3.287,5562.3
3.3,5562.2
3.314,5562.2
3.338,5562.2
3.346,5562.1
3.355,5562.1
3.369,5562.0
3.375,5561.9
3.382,5561.8
3.398,5561.6
3.406,5561.5
3.412,5561.4
3.43,5561.3
3.438,5561.1
3.443,5561.0
3.456,5560.8
3.462,5560.7
3.467,5560.5
3.471,5560.3
3.481,5560.1
3.486,5560.0
3.488,5559.7
3.501,5559.4
3.507,5559.3
3.51,5559.1
3.525,5558.8
3.532,5558.5
3.538,5558.3
3.544,5558.0
3.559,5557.7
3.563,5557.4
3.569,5557.2
3.585,5556.7
3.592,5556.3
3.596,5555.9
3.606,5555.5
3.611,5555.1
3.614,5554.7
3.62,5554.4
3.622,5553.7
3.623,5554.2
3.63,5553.3
3.636,5552.8
3.638,5552.3
3.641,5551.9
3.652,5551.4
3.658,5550.9
3.665,5550.6
3.681,5550.2
3.688,5549.8
3.692,5549.4
3.706,5549.1
3.714,5548.7
3.721,5548.5
3.733,5548.2
3.739,5547.9
3.742,5547.7
3.75,5547.4
3.764,5547.1
3.77,5546.8
3.777,5546.5
3.788,5546.3
3.793,5546.1
3.795,5545.9
3.808,5545.7
3.812,5545.6
3.814,5545.4
3.825,5545.1
3.833,5545.0
3.836,5544.8
3.845,5544.6
3.852,5544.3
3.856,5544.1
3.862,5544.0
3.877,5543.7
3.882,5543.5
3.885,5543.3
3.902,5543.1
3.912,5542.9
3.92,5542.6
3.94,5542.3
3.949,5542.2
3.956,5541.9
3.963,5541.6
3.976,5541.3
3.979,5541.1
3.988,5540.8
3.994,5540.4
4.0,5540.1
4.005,5539.9
4.021,5539.5
4.028,5539.2
4.032,5538.8
4.047,5538.4
4.053,5538.0
4.058,5537.6
4.066,5537.3
4.074,5537.1
4.077,5536.9
4.083,5536.7
4.104,5536.4
4.113,5536.2
4.125,5535.9
4.147,5535.6
4.155,5535.4
4.16,5535.1
4.174,5534.9
4.184,5534.6
4.189,5534.3
4.2,5534.0
4.209,5533.8
4.214,5533.5
4.223,5533.2
4.237,5532.9
4.243,5532.6
4.249,5532.5
4.265,5532.2
4.273,5531.9
4.279,5531.6
4.297,5531.2
4.304,5531.0
4.306,5530.7
4.319,5530.4
4.326,5530.3
4.331,5530.0
4.342,5529.7
4.351,5529.5
4.354,5529.2
4.36,5529.0
4.376,5528.8
4.383,5528.5
4.385,5528.3
4.4,5528.2
4.406,5528.0
4.411,5527.8
4.425,5527.7
4.432,5527.6
4.438,5527.4
4.45,5527.3
4.457,5527.1
4.461,5527.1
4.464,5526.9
4.478,5526.8
4.483,5526.7
4.485,5526.5
4.497,5526.5
4.504,5526.4
4.507,5526.4
4.52,5526.3
4.527,5526.3
4.529,5526.2
4.535,5526.1
4.55,5526.1
4.556,5526.0
4.56,5526.1
4.576,5526.1
4.582,5526.1
4.591,5526.0
4.596,5526.0
4.601,5526.0
4.602,5526.0
4.612,5526.0
